N,P,K,ph,Soiltype,temperature,humidity,rainfall,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,elevation,slope,aspect,latitude,longitude,label
91,53,40,5.386167788,Loamy,26.52723513,81.41753846,264.6148697,0.6422,0.7386,0.9713,0.8801,21.2857,27.1527,34.3217,27.6019,17.3066,21.8472,27.6899,22.2964,29.2671,57.3039,132.5067,53.0601,249.0,0.331389,71.011326,20.560482,85.287354,rice
90,46,42,7.50283396,Loamy,23.97898217,81.45061596,250.0832336,0.6563,0.7252,0.9651,0.8799,18.3523,25.9529,31.8792,25.8315,14.7554,21.1571,25.8844,21.0357,23.1695,49.3725,125.4965,50.3859,206.0,0.106569,148.35294,22.145471,84.820973,rice
78,58,44,5.108681786,Loamy,26.80079604,80.88684822,284.4364567,0.6549,0.7332,0.9741,0.8927,21.2356,27.4806,35.3013,28.257,17.2154,22.1204,28.6011,22.8968,25.9697,57.4813,140.8582,55.4586,456.0,0.062457,336.96292,22.982813,85.518118,rice
93,56,36,6.98435366,Alluvial,24.01497622,82.05687182,185.2773389,0.6612,0.7288,0.9765,0.9108,19.8447,25.544,32.099,25.4221,16.2424,20.741,26.0952,20.6191,16.1451,38.6296,94.5654,40.8491,462.0,0.139873,99.768464,22.460829,80.338841,rice
94,50,37,6.94801983,Loamy,25.66585205,80.66385045,209.5869708,0.6378,0.7252,0.9762,0.8847,20.0892,26.5412,33.8248,27.6759,16.2393,21.4081,27.4083,22.5427,19.1797,42.5997,104.8195,47.3577,86.0,0.013345,103.493431,26.09026,82.820474,rice
60,48,39,7.042299068999999,Clay,24.28209415,80.30025587,231.0863347,0.6338,0.7205,0.9629,0.8788,19.435,25.7374,32.1069,24.7388,15.7927,20.881,26.0363,19.8824,20.9668,47.6453,113.8496,47.9301,112.0,0.035395,212.439924,26.987054,82.196443,rice
85,38,41,6.2490506560000005,Alluvial,21.58711777,82.7883708,276.65524589999995,0.6498,0.7363,0.982,0.9215,17.1069,22.8591,28.3622,22.9469,13.8688,18.5417,22.9654,18.6294,28.0119,55.6385,139.0432,57.4387,2162.0,3.73065,254.364727,26.860191,87.583235,rice
91,35,39,6.970859754,Alluvial,23.79391957,80.41817957,206.2611855,0.634,0.7289,0.9764,0.8814,18.0489,25.2405,31.515,25.3093,14.4798,20.4817,25.5665,20.5505,21.6562,48.9577,105.0386,42.7702,126.0,0.354376,78.618048,20.525288,85.1001,rice
77,38,36,5.953933276,Alluvial,21.8652524,80.1923008,224.55501690000003,0.6392,0.7449,0.9462,0.8828,16.8325,22.9995,29.0413,23.503,13.5527,18.6264,23.575,19.1299,21.4848,41.1765,111.3336,42.7555,334.0,2.589851,25.801883,22.543178,86.408768,rice
88,35,40,5.85393208,Alluvial,23.57943626,83.58760316,291.2986618000001,0.6755,0.7527,1.0094,0.9128,18.2112,24.8666,32.02,24.8516,14.6742,20.1508,26.1251,20.1357,27.6691,56.9565,141.599,59.9646,124.0,1.033474,265.165919,24.755874,87.622315,rice
89,45,36,6.442475375,Alluvial,21.32504158,80.47476396,185.4974732,0.6427,0.7123,0.9592,0.8726,16.3972,22.8242,27.7516,22.5938,13.1985,18.5592,22.4204,18.3288,19.5597,36.4305,96.2796,38.9352,191.0,0.082923,359.091749,20.999456,84.860583,rice
76,40,43,5.070175667,Loamy,25.15745531,83.11713476,231.3843163,0.6753,0.7607,1.0052,0.8819,20.8726,26.1732,33.2411,26.3856,17.099,21.1417,26.9517,21.3541,20.0997,44.8615,113.8383,44.2281,118.0,0.039293,287.83274,25.469184,80.278392,rice
67,59,41,6.012632591,Loamy,21.94766735,80.97384195,213.3560921,0.6353,0.7244,0.9573,0.8809,17.1575,22.33,29.527,23.0502,13.8654,17.9404,24.04,18.6606,24.6004,42.9327,109.0044,43.5954,11.0,0.010117,10.01604,20.470634,86.228123,rice
83,41,43,6.254028451,Alluvial,21.0525355,82.67839517,233.1075816,0.6554,0.7452,0.9798,0.9079,16.6784,21.9125,28.4245,21.1291,13.5205,17.702,23.1613,16.9186,23.4504,47.9458,120.8199,47.7982,369.0,0.218775,182.247375,22.564299,83.062835,rice
98,47,37,7.375482851,Loamy,23.48381344,81.33265073,224.0581164,0.6444,0.7261,0.9691,0.9028,18.634,24.4115,31.001,24.8117,15.1114,19.7147,25.1301,20.1149,21.9896,46.5108,113.8283,46.0709,548.0,0.008578,155.331389,23.970712,84.840759,rice
66,53,41,7.778915154,Alluvial,25.0756354,80.52389148,257.0038865,0.6386,0.7245,0.9604,0.8836,19.3326,26.6346,33.5506,26.2283,15.5712,21.6195,27.2817,21.2132,27.195,51.6354,129.5961,53.5983,182.0,1.033474,85.152633,24.753434,87.590588,rice
97,59,43,6.2865001760000006,Loamy,26.35927159,84.04403589,271.35861370000003,0.6805,0.7632,1.0072,0.9163,21.1706,27.6877,34.7586,27.9748,17.2167,22.4159,28.1688,22.703,29.7468,53.6512,135.8733,58.4565,199.0,0.242099,102.181768,22.604094,86.104676,rice
97,50,41,7.070959995,Loamy,24.52922681,80.54498576,260.2634026,0.6322,0.7311,0.9576,0.8957,18.8138,26.1515,32.1885,25.4171,15.1344,21.2457,26.0562,20.5113,28.3426,53.3094,130.2833,51.7586,266.0,0.208603,245.099309,24.017452,84.235679,rice
60,49,44,6.244841491,Loamy,20.77576147,84.49774397,240.0810647,0.6728,0.7523,1.0089,0.915,15.9482,21.5327,27.3907,21.9306,12.8318,17.3775,22.1967,17.7754,24.834,48.5036,119.0985,45.2013,339.0,0.680416,329.053182,22.786238,85.196486,rice
84,51,35,6.043304899,Loamy,22.30157427,80.64416466,197.9791215,0.643,0.7344,0.9577,0.8903,17.2033,24.1543,29.2613,23.2723,13.858,19.694,23.6859,18.812,20.4197,39.2759,98.9525,37.9414,658.0,0.468805,104.883749,21.747282,80.907589,rice
73,57,41,5.824709117,Clay,21.44653958,84.94375962,272.2017204,0.6949,0.7714,1.0195,0.9346,17.1488,22.7197,28.2606,22.1324,13.9318,18.4304,22.899,17.8431,27.0027,53.6379,136.2962,55.4363,86.0,0.029489,358.321894,25.149724,83.992352,rice
92,35,40,6.3573893660000005,Alluvial,22.17931888,80.33127223,200.0882787,0.6522,0.7317,0.9559,0.8624,18.1918,22.9046,30.2053,22.9886,14.8649,18.4687,24.6604,18.5527,24.3152,40.3843,98.3647,38.9661,465.0,0.179021,180.079028,22.708912,84.493382,rice
85,37,39,6.364134967999999,Clay,24.52783742,82.73685569,224.67572310000003,0.6634,0.7541,0.9978,0.9219,18.9361,26.6923,31.7436,26.67,15.2569,21.7867,25.6116,21.7644,23.1511,43.7813,109.6974,43.9968,247.0,0.005146,293.479032,21.832437,82.082318,rice
98,53,38,5.01450727,Loamy,20.26707606,81.63895217,270.4417274,0.6667,0.7188,0.9801,0.8874,15.1038,21.8993,26.6032,21.5919,12.0637,17.8459,21.5364,17.5384,26.8151,52.8896,134.3207,53.8036,25.0,0.018656,161.386841,23.123912,87.970921,rice
88,54,44,6.149410611,Clay,25.7354293,83.88266234,233.1321372,0.6762,0.7396,0.9991,0.9345,20.3268,26.4599,33.9439,27.08,16.4665,21.3128,27.5101,21.933,24.7364,49.1818,119.6684,46.7615,20.0,0.038098,69.512738,21.999038,87.331831,rice
95,55,42,5.950660556,Alluvial,26.79533926,82.1480873,193.3473987,0.6747,0.7458,0.9926,0.8918,22.1317,28.6209,34.6864,27.2557,18.1124,23.2618,27.9876,21.8967,18.8368,41.4067,98.7905,34.591,437.0,0.156974,163.834066,23.438401,80.981099,rice
99,57,35,5.960370061,Alluvial,26.75754171,81.17734011,272.29990560000005,0.6566,0.7469,0.9736,0.8723,20.9369,28.1325,34.2676,28.0791,16.9232,22.781,27.5782,22.7276,30.2347,51.6998,136.9181,54.2817,73.0,0.014278,351.195637,25.969784,83.616341,rice
95,39,36,5.561398642,Loamy,23.86330467,83.15250801,285.2493645,0.6719,0.7432,1.0074,0.9094,18.1401,24.5865,31.2892,25.3085,14.5606,19.8139,25.3234,20.5358,29.2581,54.9314,140.6532,55.4641,64.0,0.033148,350.085527,26.290753,83.56089,rice
60,43,44,7.416245107000001,Clay,21.01944696,82.95221726,298.40184710000005,0.6533,0.7662,0.9976,0.9186,16.4993,21.4715,27.2382,21.9599,13.3464,17.2676,21.9833,17.756,28.7329,59.7509,148.9763,61.1954,142.0,0.331389,251.070429,20.614535,85.455434,rice
63,44,41,5.583370042,Clay,24.17298839,83.7287574,257.0343554,0.6641,0.7384,1.0023,0.9518,18.771,24.2307,32.5495,25.5373,15.145,19.3961,26.5063,20.7027,25.1533,54.1406,129.6703,53.646,78.0,0.030784,31.98448,25.918649,82.556702,rice
62,42,36,6.430010215,Clay,22.78133816,82.06719137,248.7183228,0.647,0.731,0.974,0.9027,17.8763,24.0221,29.5772,24.3612,14.4591,19.4659,23.8819,19.805,21.6589,46.8992,127.7334,52.7036,508.0,0.59635,29.06648,22.431977,80.519513,rice
64,45,43,5.534878156,Alluvial,25.62980105,83.52842314,209.9001977,0.6596,0.7414,0.9885,0.9048,20.2222,27.1807,33.2013,27.866,16.3777,22.0548,26.7939,22.74,24.0363,41.5994,106.8025,43.106,113.0,0.072616,19.385497,23.7952,87.130653,rice
83,60,36,6.903985986,Alluvial,25.59704938,80.14509262,200.834898,0.6363,0.7218,0.9612,0.8758,19.8324,26.4449,33.7314,26.4231,15.9928,21.3255,27.3321,21.3037,18.8987,38.5051,99.9396,41.6778,60.0,0.011781,40.242501,25.959534,85.694473,rice
82,40,40,6.271478837999999,Clay,23.83067496,84.81360127,298.5601175,0.6687,0.7466,1.0235,0.9167,19.0171,25.3979,30.9464,24.1198,15.4425,20.6318,24.9888,19.3536,30.0547,60.7987,147.7535,59.8082,63.0,0.024372,5.995,26.491271,85.1016,rice
85,52,45,7.224285503,Alluvial,26.31355498,82.36698992,265.5355937,0.6499,0.7406,0.9889,0.9161,20.8518,26.7985,34.2106,27.437,16.9048,21.5358,27.6322,22.1742,27.8307,50.6851,131.047,51.9533,63.0,0.027234,199.515369,25.555875,84.070046,rice
91,35,38,6.13428721,Alluvial,24.8972823,80.52586088,183.6793207,0.6329,0.7,0.9643,0.8867,20.0245,26.8629,32.9662,25.8402,16.2899,21.8835,26.7419,20.8607,19.4275,35.1421,92.582,36.4245,312.0,0.006256,283.036253,20.849537,81.607843,rice
76,49,42,5.206373153,Clay,24.958779,84.47963372,196.95600080000003,0.6784,0.7554,1.0095,0.938,20.2389,26.0008,32.9556,27.2444,16.4951,21.009,26.7159,22.2527,20.3708,38.5261,99.0576,38.7392,21.0,0.010117,190.049604,20.972138,86.322984,rice
74,39,38,7.782051312999999,Alluvial,23.24113501,84.59201843,233.0453455,0.6727,0.7426,1.0319,0.9388,18.903,23.8991,30.5132,24.2936,15.4168,19.2509,24.7029,19.6454,19.2283,45.906,117.1765,42.1868,866.0,0.534629,61.293122,20.183988,84.432171,rice
79,43,39,7.062779015,Clay,21.66628296,80.70960551,210.8142087,0.6534,0.7298,0.9912,0.8832,17.18,23.3215,28.7534,22.8737,13.9301,18.9882,23.3368,18.5405,18.1242,41.3323,105.7708,40.4632,115.0,0.162253,11.488952,22.582378,86.429294,rice
88,55,45,7.730367824,Clay,24.63544858,80.41363018,253.7202781,0.6347,0.7285,0.9599,0.8801,19.8156,25.6284,32.8528,25.3778,16.1203,20.7013,26.6939,20.4507,25.5152,51.4114,126.3204,51.4987,546.0,0.008578,335.353616,23.861529,84.895587,rice
60,36,43,5.286203711000001,Loamy,23.43121862,83.06310136,219.9048349,0.6553,0.7517,0.9843,0.9202,18.8306,25.2806,30.3666,25.3508,15.3159,20.5944,24.5088,20.6646,23.7297,47.7346,106.395,43.8698,612.0,0.771532,297.47005,20.603508,82.474326,rice
76,60,39,6.766240045,Clay,20.0454142,80.3477562,208.5810155,0.6315,0.7242,0.9664,0.9026,15.9257,21.1123,26.5501,21.2834,12.9189,17.1032,21.5388,17.2743,25.7496,43.1677,102.7096,44.407,182.0,0.09267,250.903838,26.997165,85.750957,rice
93,56,42,7.382762603,Alluvial,23.85724032,82.22572988,195.0948311,0.6527,0.7406,1.002,0.8944,19.5842,24.9872,30.4664,24.8367,16.0056,20.2158,24.5021,20.0652,17.5303,41.2073,97.2314,35.7093,212.0,0.131714,100.803192,23.67987,86.153316,rice
65,60,43,5.658169482000001,Loamy,21.97199397,81.89918197,227.3637009,0.6559,0.7337,0.9678,0.8739,17.7145,22.4231,28.7084,22.9342,14.4187,18.0287,23.2154,18.5398,20.1564,48.8108,113.1904,45.3642,116.0,0.030223,335.486123,25.763376,80.590006,rice
95,52,36,5.543360237999999,Clay,26.22916897,83.83625819,286.5083725,0.6777,0.7518,1.0066,0.9242,20.54,28.1039,35.7125,27.5286,16.6056,22.8581,29.1552,22.2827,32.3487,55.0886,143.282,57.013,78.0,0.024372,186.011645,26.806658,85.138709,rice
75,38,39,6.215109715,Loamy,23.44676801,84.79352417,283.9338466,0.6729,0.756,1.0326,0.9452,18.1775,24.3474,30.6464,25.1649,14.6605,19.658,24.7847,20.4755,28.3279,56.9996,136.665,52.64,478.0,0.062457,156.932655,23.149821,85.440872,rice
74,54,38,7.120272972,Alluvial,25.65553461,83.47021081,217.3788583,0.664,0.7401,1.0144,0.9129,20.0324,26.5494,34.1407,26.3738,16.1841,21.4183,27.7268,21.2427,18.9229,46.9803,110.1328,44.4545,91.0,0.09712,220.276616,22.411603,87.023681,rice
91,36,45,5.950647577000001,Clay,24.44345477,82.45432595,267.97619480000003,0.6668,0.7492,1.001,0.9129,18.6382,25.4782,31.9016,25.9736,14.9716,20.5895,25.7907,21.0849,26.317,54.4838,131.826,52.9761,55.0,0.003583,46.080556,25.461841,85.118351,rice
71,46,40,7.236705436,Alluvial,20.2801937,82.1235421,191.9535738,0.6445,0.7339,0.9714,0.8906,16.1337,21.2018,26.2656,21.5972,13.0917,17.1457,21.1955,17.5412,21.0434,40.4887,92.8635,41.9003,0.0,0.00068,354.597626,21.273742,87.730117,rice
99,55,35,6.501697816,Loamy,21.7238313,80.2389895,277.9626192,0.6589,0.7167,0.9739,0.879,16.0666,22.7617,28.4937,22.8852,12.808,18.4169,23.0628,18.5404,28.2183,56.3908,139.2098,55.4786,94.0,0.028799,12.385205,23.028328,87.285698,rice
72,40,38,7.592490617,Clay,20.41447029,82.20802629,245.1511304,0.6406,0.7416,0.99,0.9062,16.2303,21.8068,26.8032,21.046,13.1681,17.7239,21.6996,16.9631,21.8187,48.6623,121.496,47.0735,394.0,0.012832,62.655117,20.38789,80.993289,rice
83,58,45,5.875345751,Loamy,25.75528612,83.51827127,245.6626799,0.6511,0.7542,1.0124,0.9125,20.4864,27.2793,34.6366,26.4033,16.6231,22.1283,28.1977,21.2522,26.6246,51.0979,119.1496,49.1847,297.0,0.031116,148.962117,21.071108,81.317257,rice
93,58,38,6.932400225,Loamy,20.61521424,83.77345559,279.5451717,0.6629,0.7478,0.9918,0.912,16.4933,21.2683,26.5959,22.1728,13.401,17.1452,21.442,18.0498,28.3281,53.0957,137.8208,61.1738,430.0,0.116613,136.515506,22.258625,85.674657,rice
70,36,42,6.9462098810000015,Clay,21.84106875,80.72886384,202.3838319,0.6477,0.7208,0.9678,0.8877,17.4465,23.2833,29.9464,22.5815,14.1703,18.9151,24.4862,18.2133,18.5217,40.7208,103.4905,44.0184,17.0,0.003784,194.913427,22.422162,87.527232,rice
76,47,42,5.739175027000001,Loamy,20.08369642,83.29114712,263.6372176,0.6845,0.7559,0.9838,0.9155,15.5024,20.8066,26.6708,20.9641,12.4899,16.7899,21.6498,16.9474,27.7792,54.6726,130.3643,53.9688,63.0,0.026454,166.000403,26.264481,86.76747,rice
99,41,36,6.738652179,Alluvial,24.45802087,82.74835604,182.5616319,0.6486,0.7503,0.9976,0.9145,19.3495,25.9862,32.5181,24.8504,15.6808,21.0946,26.4036,19.9588,19.0166,38.6739,91.1405,36.9277,301.0,0.237399,212.977379,21.754237,85.080457,rice
99,54,37,5.5948196260000005,Loamy,21.14347496,80.33502926,198.6730942,0.6299,0.7226,0.9643,0.8846,16.7863,22.7272,27.765,21.9426,13.6148,18.4985,22.4791,17.7139,17.7052,41.0976,101.2131,38.8101,417.0,0.165919,195.223634,23.85589,81.001362,rice
86,59,35,6.946636369,Alluvial,25.78720567,82.11124033,243.5120414,0.6538,0.7516,0.9809,0.9135,20.0902,26.8372,33.7523,27.1748,16.2221,21.6798,27.3055,22.0174,24.7955,46.9132,124.65,45.7313,254.0,0.059268,310.173433,22.119772,84.267824,rice
69,46,41,5.012139669,Alluvial,23.64124821,80.28597873,263.1103304,0.6512,0.7174,0.9598,0.8989,18.751,25.3561,32.1786,25.55,15.2048,20.6278,26.2683,20.8218,26.4756,55.4408,130.6642,51.5763,451.0,0.085856,328.049906,23.518012,81.349087,rice
91,56,37,6.363472207999999,Loamy,23.43191632,80.56887849,269.5039162,0.6417,0.7151,0.9692,0.8961,18.2425,24.1442,30.737,24.1043,14.7278,19.4578,24.8791,19.418,24.2615,52.3652,137.853,53.4728,117.0,0.010673,324.731265,26.591249,81.233554,rice
61,52,41,6.880431223,Alluvial,24.97669518,83.891805,204.8001847,0.6779,0.7567,1.0313,0.9166,19.6444,26.4167,32.9265,25.96,15.8979,21.4214,26.6823,20.9647,18.2346,41.9449,101.1246,39.8491,306.0,0.199349,98.896715,24.61113,85.765062,rice
67,45,38,7.300410836,Clay,22.72791041,82.17068809999998,260.8875056,0.6693,0.7312,0.9924,0.9194,17.5795,23.5789,29.5543,23.1064,14.1703,19.0334,23.8723,18.5609,28.9298,53.1203,130.8496,55.7693,207.0,0.176985,262.759455,24.235972,86.74024,rice
79,42,37,6.587918707999999,Alluvial,24.87300744,82.84022551,295.6094492000001,0.6588,0.7521,0.9861,0.9109,19.2811,26.2839,32.5573,25.7512,15.5501,21.3093,26.3391,20.7766,30.1327,63.1423,145.0461,62.711,184.0,0.195702,282.962245,23.945326,86.60189,rice
78,43,42,7.283736617000001,Alluvial,21.32376327,83.00320459,192.3197536,0.6663,0.7723,1.0065,0.9189,16.5337,22.9841,27.7427,23.3133,13.3351,18.7194,22.4118,19.0486,19.1991,37.4022,97.5237,37.7454,423.0,0.110701,19.126299,20.198614,80.363694,rice
75,54,36,7.023936392,Alluvial,26.29465461,84.56919326,257.4914906,0.6876,0.7718,1.0213,0.9423,21.0024,27.863,35.2028,27.6827,17.0582,22.6041,28.6292,22.4238,27.3901,53.8369,128.4115,49.8644,170.0,0.348396,158.262249,24.490176,84.61417,rice
97,36,45,6.939083505,Clay,22.2286982,81.85872947,278.0791793,0.6509,0.7386,0.9898,0.8974,17.6894,23.9794,28.4952,24.4218,14.3551,19.5336,22.9381,19.976,27.8654,55.7087,140.3306,56.0541,438.0,0.199349,279.050903,24.55791,86.135672,rice
67,47,44,7.868474653,Clay,26.73072391,81.78596776,280.4044392,0.6701,0.7422,0.9834,0.901,21.1751,28.2068,34.8609,27.554,17.1655,22.8606,28.1782,22.2079,27.8499,56.4541,142.3495,54.6806,539.0,0.680416,149.020346,22.916107,85.11193,rice
73,35,38,5.005306977,Clay,24.88921174,81.97927117,185.9461429,0.6406,0.7535,1.0026,0.9062,20.1978,26.3223,32.3895,25.0343,16.4644,21.3444,26.1672,20.0564,17.4768,37.0577,90.077,36.1851,695.0,0.19612,343.479029,23.486266,85.017312,rice
77,36,37,6.136131869,Loamy,26.88444878,81.46033732,194.5766559,0.6588,0.7203,0.9765,0.8808,20.6609,27.9466,35.6109,27.6936,16.6282,22.5697,28.8898,22.3167,19.9453,40.6602,100.9816,37.5315,1.0,0.030188,269.972072,22.027702,87.653201,rice
81,41,38,7.5240800760000015,Clay,22.67846116,83.72874389,200.9133156,0.6723,0.741,1.0159,0.9267,17.8365,23.9884,29.7244,24.0408,14.4347,19.4527,24.0548,19.5051,19.6089,43.0702,101.1421,41.0781,246.0,0.191484,354.175088,23.380614,86.437505,rice
68,57,43,5.706943251,Alluvial,26.08867875,80.37979919,182.9043504,0.6563,0.7225,0.9826,0.8855,20.8662,27.7476,33.9032,26.6777,16.9529,22.5299,27.381,21.46,18.6835,39.4611,91.3719,35.2188,214.0,0.020227,180.721007,24.794936,82.379471,rice
72,45,35,5.758506323,Clay,25.42977518,82.94682591,195.3574542,0.657,0.742,1.003,0.9027,20.4463,25.7565,32.5846,26.914,16.6318,20.6705,26.2272,21.828,18.6434,34.2237,99.2503,38.9761,494.0,0.110701,199.166512,20.510811,80.479304,rice
61,53,43,6.349606327,Clay,26.40323239,81.05635517,223.3671883,0.6369,0.7273,0.9523,0.8816,20.7907,28.1621,34.7584,27.3824,16.8303,22.8814,28.1576,22.1018,25.3435,44.7272,111.1892,44.1112,986.0,0.449221,278.067712,23.077238,83.874009,rice
67,43,39,5.9999690260000005,Alluvial,26.04371967,84.96907151,186.7536773,0.6862,0.7787,1.0132,0.9436,21.4083,27.6322,34.2122,27.5426,17.5017,22.4235,27.7013,22.3339,17.533,39.2,94.7733,38.6211,122.0,0.237399,32.893782,21.428161,84.853282,rice
67,58,39,5.453592032,Loamy,25.2827223,80.54372813,220.1156708,0.639,0.7456,0.9685,0.8828,20.4349,26.6457,34.0516,26.3049,16.6425,21.5891,27.7309,21.2484,24.6464,42.6448,108.755,44.8715,452.0,0.116613,316.54283,22.188077,85.746903,rice
66,60,38,6.372576327000001,Clay,22.08576562,83.47038318,231.7364957,0.662,0.7685,1.0028,0.9156,17.654,24.2612,29.0066,22.6787,14.3411,19.844,23.4851,18.2615,23.1249,47.2199,117.0953,43.0101,43.0,0.06835,151.97971,25.139398,86.886219,rice
82,43,38,5.105588355,Loamy,23.28617173,81.43321641,242.3170629,0.6579,0.7206,0.9877,0.9066,18.5375,25.2375,30.6753,24.221,15.0445,20.5802,24.8538,19.5638,23.2653,45.5347,124.5264,48.3864,111.0,0.05805,22.381117,26.827619,81.046129,rice
84,50,44,5.9353444060000005,Loamy,25.48591986,81.40633547,182.6549356,0.6601,0.7474,0.9808,0.89,19.9838,25.972,33.1375,26.8906,16.161,20.8748,26.766,21.7934,19.5701,39.2912,92.3155,35.1877,425.0,0.179021,0.078961,22.593781,84.49321,rice
81,53,42,5.17782304,Loamy,23.67575393,81.03569343,233.7034975,0.66,0.737,0.955,0.8784,18.6319,24.6742,31.6488,24.2997,15.0805,19.9391,25.7299,19.5646,24.4576,41.0436,116.1269,49.0624,451.0,0.326758,50.852083,22.233811,83.731781,rice
91,50,40,6.462391607000001,Alluvial,20.82477109,84.1341879,230.22422230000004,0.6765,0.758,1.0047,0.9405,16.1657,22.1045,27.8306,21.652,13.0419,17.9396,22.6245,17.487,22.9286,43.4789,111.9989,47.7453,246.0,0.005146,113.442195,21.872302,81.983351,rice
93,53,38,7.069172227,Loamy,26.92995077,81.91411159,290.67937830000005,0.6518,0.741,0.9854,0.9003,21.033,29.3148,35.8607,28.1783,16.9935,23.9288,29.1282,22.7923,28.4247,58.996,144.8216,58.0614,371.0,0.771532,117.416247,20.677682,82.321696,rice
90,44,38,7.473134377,Loamy,23.83509503,83.88387074,241.20135130000003,0.6716,0.7557,1.0101,0.9436,19.134,24.9865,31.7417,23.5787,15.5587,20.2195,25.783,18.8117,25.5854,44.2439,122.5967,47.9611,475.0,0.259264,68.873306,22.689049,84.92302,rice
81,45,35,6.158376967000001,Alluvial,26.52872817,80.12267476,218.9163567,0.6306,0.7149,0.9636,0.8829,21.4455,27.3285,34.7236,28.103,17.4662,22.0227,28.0914,22.7973,23.1172,47.6113,111.1983,44.5132,32.0,0.052692,25.428425,21.737892,86.92246,rice
78,40,38,7.549873681,Loamy,26.46428311,83.85642678,248.2256491,0.6703,0.7658,0.9948,0.9254,22.0423,28.3128,35.0537,27.2143,18.0727,23.02,28.4377,21.9215,25.2248,52.0192,127.3797,48.1366,304.0,0.017143,129.069046,21.117898,82.619487,rice
60,51,36,6.028321557999999,Loamy,22.69657794,82.81088865,256.9964761,0.6658,0.7614,1.0034,0.9169,17.8415,24.0424,29.6672,23.2176,14.437,19.5031,23.993,18.6783,26.3424,52.3064,130.8772,52.8016,317.0,0.656481,164.581719,24.043809,82.501719,rice
