Soilcolor,Ph,K,P,N,Zn,S,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,WD10M,GWETTOP,CLOUD_AMT,WS2M_RANGE,PS,label,longitude,latitude,elevation,slope,aspect
Dark Brown,5.2,135.701,8.851,0.23,3.177,12.095,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.12222222222222,8.716666666666665,1969,89.98993415768265,161.565051177078
Reddish brown,6.21,175.786,13.07,0.23,1.443,9.367,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.96111111111111,9.599999999999998,985,89.99646322349135,-126.86989764584402
brown,5.57,71.766,8.048,0.23,3.137,5.906,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.57222222222222,9.013888888888888,1585,89.99896324797734,151.18103048945787
brown,6.05,697.628,168.213,0.23,1.814,15.609,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.90277777777778,9.616666666666664,2466,89.99920756872969,64.6470394779177
brown,6.01,285.655,58.65,0.23,1.733,10.517,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.23888888888889,8.319444444444443,1663,89.98595995308116,138.57633437499737
black,5.85,183.472,3.766,0.23,1.44,11.939,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.63333333333333,8.64722222222222,2053,89.97714668323651,21.037511025421814
red,6.15,89.77,5.095,0.23,0.999941,11.033,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.73333333333333,8.33611111111111,1781,89.97186511738144,-45.0
brown,6.1,420.0,12.0,0.2365,2.2,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.41111111111111,8.838888888888889,2056,89.77492207876419,45.0
brown,5.57,267.393,6.915,0.23,1.064,13.226,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.40277777777778,9.833333333333332,2235,89.99685257951434,65.46227152342222
brown,5.45,449.394,2.712,0.23,3.157,13.146,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.725,9.666666666666666,2246,89.99866125114939,-130.05240114101022
brown,5.61,161.458,4.224,0.23,1.325,12.158,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.93333333333333,9.783333333333331,1366,89.99862204803655,90.24803212815652
red,6.0,98.899,6.002,0.23,0.646985,10.839,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.15555555555555,8.480555555555554,2315,89.97579934893253,-98.74616226255522
red,5.74,177.9,3.149,0.23,1.03,12.044,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.375,9.180555555555554,2475,89.9967065320555,61.578790775473145
brown,5.71,366.933,4.908,0.23,0.812608,16.75,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.89722222222222,9.155555555555557,2031,89.99444545420477,119.24882633654698
brown,5.7,191.0,7.0,0.3493,3.5,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.56944444444444,8.572222222222221,-32767,0.0,180.0
other,6.0,296.0,15.0,0.2681,3.3,13.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.125,9.29722222222222,2704,89.99837310887462,85.30931554426516
brown,5.7,241.0,12.0,0.358,3.0,13.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.25,9.15,2863,89.97558674764674,-147.52880770915152
other,5.8,182.0,6.0,0.3411,3.0,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.80555555555555,8.644444444444442,1821,89.93633804896157,-53.13010235415598
brown,6.4,239.0,50.0,0.1255,1.3,17.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.475,8.54722222222222,2869,89.99607144568982,77.16439051359856
other,5.7,208.0,4.0,0.2748,2.8,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.44444444444444,8.744444444444444,1529,89.99044161872355,48.65222278030633
brown,5.9,242.0,8.0,0.219,2.4,9.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.78611111111111,9.341666666666663,2762,89.995063034254,-156.21796957677864
other,5.8,343.0,11.0,0.2242,3.2,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.38055555555555,8.78611111111111,1868,89.99226390764832,-25.942295489871672
other,6.0,318.0,11.0,0.2734,3.3,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.81666666666666,9.102777777777776,2532,89.99723584756504,177.01336300952485
brown,6.3,295.0,10.0,0.1702,2.2,5.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.25277777777777,8.288888888888888,-32767,0.0,180.0
brown,6.07,125.216,13.546,0.23,1.459,11.334,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.90555555555555,9.305555555555554,2856,89.99734418810428,-49.398705354995535
brown,5.56,158.106,5.391,0.23,2.349,14.209,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.86111111111111,9.38611111111111,1372,89.99707788061771,-74.56035446468074
brown,6.25,55.791,84.785,0.23,0.769416,5.549,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.02222222222222,9.38611111111111,2677,89.9824242773033,-173.6598082540901
brown,6.3,159.0,5.0,0.1754,1.4,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.03333333333333,9.474999999999998,2637,89.96816901465641,-143.13010235415598
red,5.9,185.0,4.0,0.2145,1.5,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.09722222222222,8.205555555555554,-32767,0.0,180.0
brown,5.9,316.0,3.0,0.2905,3.4,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.20833333333333,8.119444444444444,-32767,0.0,180.0
brown,6.1,910.0,164.0,0.2087,3.3,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.577777777777776,8.930555555555554,1580,89.9910183670261,-16.389540334034784
gray,5.7,187.345,17.626,0.23,1.087,15.959,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.125,9.825,2468,89.99846484846272,176.68221883166518
gray,5.61,1458.2,291.856,0.23,3.463,21.958,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.58611111111111,8.005555555555555,2565,89.98749560691857,-45.0
brown,5.63,391.602,23.076,0.23,2.039,17.165,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.81111111111111,8.33611111111111,2686,89.99204473852744,88.56790381583535
brown,6.35,104.195,3.226,0.23,1.098,12.622,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.33888888888889,9.352777777777776,2253,89.98817010641345,-41.98721249581666
brown,6.0,226.0,3.0,0.2593,1.9,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.93333333333333,8.258333333333333,3136,89.99531947835682,143.9726266148964
red,6.1,415.0,96.0,0.1692,2.2,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.76111111111111,8.530555555555555,1419,89.99347254028376,118.14160123226172
red,5.8,319.0,7.0,0.184,2.1,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.86388888888889,9.341666666666663,1903,89.99547528322707,-95.71059313749964
brown,5.61,237.341,16.899,0.23,1.708,13.733,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.644444444444446,9.727777777777776,3114,89.99650230034902,-102.05078488340956
brown,5.95,97.358,6.494,0.23,1.724,12.492,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.23888888888889,8.447222222222221,-32767,0.0,180.0
brown,5.85,90.749,6.252,0.23,1.879,13.922,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.53333333333333,8.819444444444443,1521,89.99248901389332,-70.70995378081128
brown,6.0,338.0,9.0,0.3063,2.7,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.58055555555556,8.138888888888888,1833,89.98418305499253,153.434948822922
brown,6.2,287.0,22.0,0.2363,2.0,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.96666666666666,8.819444444444443,-32767,0.0,180.0
brown,6.3,196.0,8.0,0.2935,1.8,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.96944444444444,9.466666666666663,2631,89.96274465100767,159.44395478041653
black,5.9,177.0,18.0,0.2902,2.1,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.56111111111111,8.03611111111111,-32767,0.0,180.0
brown,6.1,461.0,39.0,0.2591,3.7,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.61666666666667,9.124999999999998,2722,89.9705722431999,-123.6900675259798
black,5.95,214.852,2.253,0.23,1.704,11.793,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.577777777777776,9.191666666666665,2756,89.99318255130297,-99.86580694308438
other,5.5,90.0,5.0,0.3693,1.2,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.86388888888889,9.56111111111111,1276,89.99524274338022,80.53767779197439
brown,5.6,395.0,18.0,0.4014,6.3,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,38.40277777777778,9.302777777777775,2834,89.99494491421072,-122.6805547433634
