N,P,K,ph,temperature,humidity,rainfall,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,elevation,slope,aspect,soil_Alluvial,soil_Black,soil_Clay,soil_Clay loam,soil_Laterite,soil_Loamy,soil_Sandy,soil_Sandy loam,label
95,37,35,6.348337518999998,27.31317116,68.42333909999999,192.4288139,0.5465,0.6177,0.8319,0.7525,21.3208,29.14,35.3768,29.2987,17.2238,23.6774,28.5485,23.836,21.3681,40.8668,94.6335,34.4892,64.0,1.231489,6.907218,0,0,0,1,0,0,0,0,5
91,21,26,7.261313694,26.33377983,57.36469955,191.6549412,0.4485,0.5212,0.6803,0.6334,20.5826,27.3799,34.608,27.7991,16.6325,22.1131,28.0246,22.5324,18.9296,36.5603,94.628,37.4969,75.0,0.145198,0.969694,0,0,0,0,1,0,0,0,5
112,87,48,6.200111067999999,27.19711623,77.39706290000002,99.46950465,0.6137,0.7036,0.9224,0.8616,20.9214,28.7852,35.6997,29.4845,16.8418,23.3458,28.9004,24.045,10.5108,20.8143,50.537,20.9633,305.0,0.546961,306.36549,0,0,0,0,0,1,0,0,1
20,40,15,7.199495367999999,29.57329479,88.07505524,45.04467075,0.6991,0.7827,1.0531,0.9797,23.7616,32.0742,39.3668,31.2934,19.3256,26.1595,31.9735,25.3787,0.7585,6.8909,22.3956,8.342,482.0,0.084014,159.19952,1,0,0,0,0,0,0,0,14
85,9,53,6.447662945,28.20619412,92.86798698,28.78654515,0.7447,0.8313,1.1084,1.0157,22.0756,29.6135,37.2575,29.8217,17.8446,23.9722,30.2059,24.1805,2.3157,3.8211,14.7212,3.3495,182.0,0.00413,88.846658,0,0,0,0,0,1,0,0,15
30,122,197,5.573241391,21.37784654,92.72043743,106.1417017,0.7402,0.8516,1.1032,1.0161,17.1797,22.8473,27.8728,22.8833,13.9731,18.5717,22.5284,18.6078,8.9146,22.7788,53.3601,20.6476,1030.0,0.460555,73.42825,0,0,0,0,0,1,0,0,0
14,121,203,6.1586894060000015,9.724457611,83.74765639,74.46411148,0.6511,0.7732,1.0034,0.9379,7.5759,10.6081,13.3149,10.7562,6.1172,8.6633,10.8838,8.8113,5.3059,15.6272,37.059,17.495,514.0,0.130903,198.297047,0,0,0,0,0,0,0,1,7
89,11,47,6.327822962000001,29.78714005,94.65343534,27.8659442,0.7556,0.8362,1.1277,1.0417,22.144,31.3975,38.5749,32.2836,17.676,25.44,31.1281,26.3261,2.913,6.0228,15.3688,3.939,426.0,0.03116,208.679797,0,0,0,0,0,1,0,0,15
91,84,52,6.390741836,29.14827211,78.71024836,117.536781,0.6374,0.7116,0.9583,0.8712,23.7174,30.0824,38.4327,30.4029,19.3451,24.2527,31.1456,24.5733,14.7107,23.8178,58.3268,19.951,391.0,0.038679,246.171261,1,0,0,0,0,0,0,0,1
41,62,15,7.358974541,29.38400259,64.14928485,65.24194361,0.5159,0.5754,0.7778,0.7081,23.262,30.5875,38.261,30.7646,18.8544,24.7107,30.915,24.8878,3.4778,15.149,32.6177,12.2661,735.0,0.559782,197.201016,0,0,0,1,0,0,0,0,2
29,41,21,8.86979671,31.49398069,62.84916863,64.56807592,0.4975,0.5735,0.7519,0.7074,25.186,33.2681,41.6932,33.4571,20.4619,26.9693,33.8197,27.1583,6.4466,9.3583,33.699,15.6205,59.0,0.012798,12.238579,0,0,0,0,0,0,0,1,13
35,74,22,6.898905799,26.7230014,62.96841833,42.87274897,0.5109,0.5537,0.7405,0.6916,20.8506,27.3539,35.5787,27.9262,16.8422,22.0093,28.898,22.5816,2.9086,5.6503,21.9845,11.3018,478.0,0.27367,255.069747,0,0,0,0,0,0,0,1,10
99,29,55,6.660954816,29.19378695,91.46241065,26.48240255,0.7371,0.8166,1.0933,0.9911,21.9791,30.925,37.9427,30.5961,17.6,25.0862,30.6443,24.7573,4.3656,4.8083,10.8213,4.8962,449.0,0.087732,257.143208,0,0,0,0,0,0,0,1,15
14,59,22,6.76660668,23.82723528,67.89815262,46.90725077,0.5361,0.6233,0.8157,0.7505,18.63,25.5978,31.5352,24.542,15.0559,20.8324,25.5784,19.7766,3.052,11.28,22.4596,7.0342,159.0,0.0,47.224649,0,0,0,1,0,0,0,0,10
24,27,9,6.157135092000001,18.86883219,93.24688124,119.3936976,0.7399,0.8411,1.1387,1.0343,14.9182,20.3136,24.4127,18.9784,12.0879,16.5399,19.6955,15.2046,12.0869,24.3319,58.4001,23.6491,353.0,0.303515,261.103043,0,0,0,0,0,1,0,0,16
0,55,25,4.524171562,28.17489437,43.6672299,45.78172762,0.3652,0.3924,0.5253,0.4714,21.6067,29.6482,37.4715,28.9313,17.3805,24.0133,30.4278,23.2964,3.7792,7.8368,21.9378,5.8736,88.0,0.005914,23.337573,0,0,0,0,0,0,1,0,13
28,75,21,6.007508163,24.7741949,50.54621094,114.2821387,0.4147,0.445,0.5959,0.5558,19.5303,26.7519,32.5584,27.1752,15.8142,21.7971,26.3648,22.2204,12.0971,23.1283,59.0537,23.8665,640.0,0.057451,324.425343,0,0,0,0,0,0,0,1,18
86,36,24,5.787268394,26.54986394,72.89187265,73.33636055,0.6145,0.6555,0.8812,0.7998,19.8402,27.989,35.1073,27.9221,15.8577,22.679,28.4698,22.6122,9.4457,15.2384,37.7794,14.3647,506.0,0.322913,18.940253,1,0,0,0,0,0,0,0,11
42,73,25,6.501869314,34.03679184,67.21113844,73.23573601,0.5396,0.5969,0.7934,0.746,26.8828,35.9939,44.555,35.313,21.7773,29.1866,36.0458,28.5057,7.2753,17.446,36.994,19.0664,24.0,0.104548,172.516587,0,0,0,0,0,1,0,0,2
9,77,17,5.783425416,20.12373284,24.45202552,106.158201,0.1924,0.2114,0.2982,0.2419,14.8085,21.3102,26.4214,21.4262,11.79,17.2855,21.3905,17.4015,13.9026,21.1692,50.3454,19.9719,4693.0,1.09655,60.909692,0,0,0,0,0,0,0,1,9
126,38,23,6.176716425,25.36243778,83.63276077,88.43618918,0.6757,0.7578,0.984,0.9221,19.8076,27.1546,33.6854,26.6568,16.0033,22.0821,27.3448,21.5843,10.7832,18.1789,44.6392,17.512,8.0,0.098085,306.729946,0,0,0,0,0,0,0,1,6
62,42,36,6.430010215,22.78133816,82.06719137,248.7183228,0.647,0.731,0.974,0.9027,17.8763,24.0221,29.5772,24.3612,14.4591,19.4659,23.8819,19.805,21.6589,46.8992,127.7334,52.7036,508.0,0.59635,29.06648,0,0,1,0,0,0,0,0,20
38,60,20,7.491217102,29.84823072,60.63872613,46.80452595,0.4783,0.5371,0.7267,0.6663,22.892,32.5414,40.178,30.9946,18.4147,26.5718,32.716,25.025,5.0504,13.4412,22.806,6.5475,405.0,0.436341,92.938517,0,0,0,1,0,0,0,0,10
118,21,51,6.678805092,24.42998931,86.33904774,48.58241822,0.6773,0.7754,1.0487,0.9582,18.6378,25.4483,32.8247,25.3851,14.9734,20.5623,26.7172,20.4991,5.753,8.9971,21.8165,10.9204,664.0,0.090675,46.382478,0,0,0,0,0,0,0,1,21
126,46,25,6.757457943,24.43847399,81.69801729,60.79645852,0.6645,0.7389,0.9746,0.898,19.6342,25.0558,31.5972,26.0467,15.9684,20.1681,25.4876,21.159,7.8083,13.8566,28.7918,11.5176,730.0,1.453628,344.158788,0,1,0,0,0,0,0,0,6
33,75,21,6.690655045,33.04687968,68.93875631,62.30278274,0.565,0.6226,0.809,0.7711,26.0409,34.6955,43.5757,33.957,21.0839,28.0861,35.314,27.3476,7.7783,13.0519,30.5483,12.3389,0.0,0.0,181.579289,0,0,0,0,0,1,0,0,2
9,60,23,6.2760043360000015,31.96987867,57.17377029,64.25520357,0.4601,0.5293,0.6994,0.6113,24.7363,32.9795,41.0403,33.2645,19.9408,26.5855,33.0479,26.8705,5.9939,11.6065,31.119,16.3329,143.0,0.072805,359.478434,0,0,0,0,0,0,0,1,13
9,137,200,5.636687393,21.12152071,90.6878768,102.8017203,0.7438,0.8171,1.1013,0.9845,16.2315,22.0007,28.2757,22.4156,13.0633,17.7764,22.9954,18.1913,14.6242,20.1847,47.8463,24.0769,4073.0,2.23423,240.864971,0,0,0,0,0,1,0,0,0
90,48,45,6.509174788999999,24.06475727,71.31342851,153.63902119999997,0.5707,0.646,0.8624,0.7826,19.3314,25.2086,30.8985,24.5246,15.7217,20.3956,24.8823,19.7117,14.4698,33.7277,79.073,28.5988,3109.0,2.84635,127.903205,0,0,0,0,0,1,0,0,8
21,29,12,6.438668989,22.30318989,92.15987039,117.3688104,0.7211,0.835,1.1065,1.0109,17.2464,23.6156,28.6754,23.3447,13.9009,19.155,23.0996,18.8841,13.103,21.565,58.8126,26.8953,329.0,0.288152,176.879755,0,0,0,0,0,0,0,1,16
28,80,17,5.809419584,19.62207826,18.67170854,144.1567454,0.1476,0.1823,0.2274,0.1985,14.9548,20.6924,25.461,20.3791,12.0115,16.768,20.5555,16.4547,10.0615,25.8831,74.5841,24.8935,1924.0,5.999207,348.628922,0,0,0,0,0,0,0,1,9
60,44,23,5.722579819,24.7947077,70.04556743,76.72860067,0.5469,0.6204,0.8423,0.7768,19.9615,27.0039,32.8,26.279,16.2423,22.045,26.6013,21.3201,7.9256,13.9902,39.0656,17.5651,642.0,1.542741,30.135539,0,0,0,0,0,1,0,0,11
101,70,48,6.012696655,25.36059237,75.03193255,116.5531455,0.5859,0.6845,0.8888,0.8178,19.4267,26.3573,33.1935,26.1196,15.6226,21.2852,26.8533,21.0475,11.8683,24.8023,59.298,21.3518,0.0,0.0,106.999154,0,0,0,0,0,1,0,0,1
0,25,14,6.361671475,19.33516809,91.97978938,116.450422,0.7203,0.8195,1.1172,1.0162,15.5454,20.1397,25.9709,20.4479,12.6451,16.2727,21.1371,16.5809,10.4745,24.1481,57.5468,24.5326,430.0,0.613707,187.523777,0,0,0,0,0,0,0,1,16
1,29,29,6.052026047000001,27.32961444,49.30347234,93.53197359,0.3913,0.4333,0.5968,0.5294,22.0511,29.5136,36.0891,29.7392,17.9517,24.0477,29.2567,24.2733,9.5733,19.1129,45.8644,21.6242,402.0,0.153672,329.230733,0,0,0,0,0,0,0,1,12
117,37,32,6.787658922,23.1069385,67.06230539,162.57696059999995,0.5204,0.5798,0.7918,0.7412,17.8716,24.0391,30.227,24.152,14.4055,19.4177,24.4503,19.5306,14.0839,31.5645,79.2075,30.7337,1013.0,0.047561,132.710688,0,0,0,0,1,0,0,0,5
2,39,15,6.478557136,28.07219563,82.9116472,49.61865305,0.6619,0.7501,0.9979,0.9122,22.4616,29.7755,37.5543,30.1718,18.2507,24.1611,30.5362,24.5573,3.6994,8.304,26.269,10.5576,469.0,0.009059,342.310585,0,0,0,0,0,1,0,0,14
40,143,201,6.476757723,24.97256132,82.72828653,66.70016285,0.6589,0.7517,0.9912,0.9099,18.2378,25.6915,31.1225,26.1621,14.4919,20.697,24.8794,21.1676,8.5084,15.6515,27.5985,8.3749,465.0,0.015189,184.748232,0,0,0,0,0,1,0,0,7
2,51,17,5.838508699,25.87682261,45.96341933,38.53254678,0.3581,0.4168,0.5423,0.4849,20.9715,26.8085,34.3282,27.5141,17.09,21.6331,27.859,22.3387,3.024,6.9886,19.3523,11.9498,394.0,0.159353,279.701724,0,0,0,0,0,1,0,0,13
63,47,35,7.432768147000001,26.98582182,89.05587886,193.8778713,0.7175,0.7879,1.0633,0.9797,20.9857,28.3774,35.8992,27.8988,16.9378,22.9803,29.1527,22.5016,20.0207,38.9752,99.5688,41.8462,227.0,3.51632,79.84385,1,0,0,0,0,0,0,0,8
60,48,39,7.042299068999999,24.28209415,80.30025587,231.0863347,0.6338,0.7205,0.9629,0.8788,19.435,25.7374,32.1069,24.7388,15.7927,20.881,26.0363,19.8824,20.9668,47.6453,113.8496,47.9301,112.0,0.035395,212.439924,0,0,1,0,0,0,0,0,20
32,25,35,5.892913826,18.09903225,85.70786282,107.0050976,0.6773,0.7674,1.0311,0.9364,13.9474,20.0926,23.567,18.718,11.2325,16.4728,19.0423,15.0982,9.717,23.2148,55.086,24.7188,557.0,0.238285,266.436657,0,0,0,0,0,0,0,1,19
102,28,54,6.862157042000001,25.15623099,80.27525115,55.49541453,0.6595,0.7224,0.9557,0.8811,19.0819,26.2819,33.5042,26.1607,15.3085,21.2507,27.2152,21.1294,6.7085,12.1108,28.48,11.4205,0.0,0.0,24.249598,0,0,0,0,0,0,0,1,21
24,61,17,6.233269045,22.6371424,65.44544859,38.30411077,0.5311,0.5913,0.7838,0.7202,17.7374,23.3564,29.1266,23.5724,14.3418,18.829,23.4673,19.045,2.6005,9.8967,15.6871,5.9516,144.0,0.0,223.548062,0,0,0,0,0,0,0,1,10
31,62,52,6.99104104,33.7960155,93.00754254,182.026807,0.7573,0.8367,1.1141,1.024,26.5138,35.4485,43.9287,35.9599,21.4444,28.6893,35.4797,29.2007,18.7879,34.3462,91.5559,39.1109,0.0,0.0,251.254301,0,0,0,0,0,0,0,1,17
33,60,15,6.510840928,28.95172351,81.67085323,56.51103293,0.6615,0.729,0.975,0.8706,22.9248,30.0122,37.4695,31.4616,18.582,24.2219,30.2316,25.6712,5.1224,11.3058,27.2233,10.943,447.0,0.019452,105.969175,0,0,0,0,0,1,0,0,14
116,5,54,6.65398725,25.37601283,80.99313508,57.23028471,0.643,0.7274,0.9715,0.8976,20.5745,26.6858,32.7181,26.989,16.7681,21.6106,26.3741,21.9138,3.798,10.2284,27.807,13.6477,326.0,0.135286,69.576331,0,0,0,0,0,0,0,1,21
77,58,19,5.791649933,22.8056033,56.50768935,101.5952794,0.4549,0.5038,0.6782,0.6207,17.9462,24.1579,30.2055,23.8911,14.5254,19.5968,24.5041,19.33,8.5403,20.2902,49.9249,19.579,547.0,0.088616,323.941363,1,0,0,0,0,0,0,0,11
1,6,35,6.231662767,27.02269204,95.71935435,147.16824590000004,0.7525,0.8592,1.1518,1.0575,21.2121,29.4772,35.0816,28.0477,17.1587,24.0727,28.3259,22.6432,11.6933,30.3028,76.5028,26.6222,41.0,0.161433,91.994621,1,0,0,0,0,0,0,0,4
29,139,205,6.155939452999999,23.64142354,93.74461474,116.6912176,0.7577,0.838,1.1128,1.0471,18.0752,25.212,31.0884,24.2217,14.529,20.4837,25.178,19.4934,12.6952,27.3133,57.8393,22.0176,4468.0,0.863115,209.453562,0,0,0,0,0,0,0,1,0
29,68,23,5.82738029,24.1638445,19.27907819,116.7324324,0.1458,0.1879,0.2283,0.2119,19.3722,24.3621,31.743,23.9533,15.7476,19.5293,25.702,19.1205,11.8089,22.3217,60.6583,23.1348,219.0,0.029234,56.380138,0,0,0,0,0,0,0,1,9
94,39,18,5.893093135,23.89114571,57.48775781,102.8301942,0.4412,0.5325,0.7084,0.6301,18.4559,25.0248,30.845,25.3768,14.8722,20.2466,24.8722,20.5985,10.1177,21.8277,53.8572,18.6472,233.0,0.200333,247.675744,0,0,0,0,0,1,0,0,11
34,66,19,7.586642101,32.97030511,60.18122078,73.44678678,0.4849,0.557,0.7176,0.6571,26.2731,33.8539,42.0298,34.3808,21.3276,27.2599,33.7872,27.7867,5.3278,17.5176,40.0518,14.1238,296.0,0.086189,191.839448,0,0,0,1,0,0,0,0,2
57,68,81,8.081095263,17.17012591,17.30457712,72.78624223,0.1451,0.1486,0.207,0.1892,13.4337,18.6766,22.4384,18.1548,10.8582,15.2425,18.1459,14.7207,7.4748,16.0473,36.5766,14.9867,139.0,0.086176,22.955429,0,0,0,0,0,0,0,1,3
98,47,37,7.375482851,23.48381344,81.33265073,224.0581164,0.6444,0.7261,0.9691,0.9028,18.634,24.4115,31.001,24.8117,15.1114,19.7147,25.1301,20.1149,21.9896,46.5108,113.8283,46.0709,548.0,0.008578,155.331389,0,0,0,0,0,1,0,0,20
60,43,44,7.416245107000001,21.01944696,82.95221726,298.40184710000005,0.6533,0.7662,0.9976,0.9186,16.4993,21.4715,27.2382,21.9599,13.3464,17.2676,21.9833,17.756,28.7329,59.7509,148.9763,61.1954,142.0,0.331389,251.070429,0,0,1,0,0,0,0,0,20
50,56,76,7.966605025,20.99502153,19.8601304,73.50734019,0.1595,0.1727,0.2334,0.2121,16.5122,20.9213,28.156,22.3546,13.3629,16.7223,22.9072,18.1556,9.0476,15.124,33.0006,12.3221,461.0,0.018448,352.474599,0,1,0,0,0,0,0,0,3
24,27,34,6.203376525,28.87862994,95.11320315,145.0583117,0.746,0.8496,1.1331,1.064,22.7921,29.7744,37.1012,29.616,18.4603,23.9987,29.8815,23.8402,14.0777,29.2985,73.6671,31.4205,285.0,2.146464,340.087791,1,0,0,0,0,0,0,0,4
10,56,18,7.32710972,27.99627907,68.6428593,46.10585191,0.5566,0.6159,0.8244,0.7507,22.0702,29.4968,36.7582,29.0418,17.8707,23.8975,29.7591,23.4426,7.5989,5.2644,24.3308,6.2652,94.0,0.012784,191.826598,0,0,0,0,0,1,0,0,10
35,38,19,9.112771682,25.32688786,63.18180319,32.71129281,0.5179,0.5655,0.7393,0.6902,20.1164,26.2673,33.3106,27.0259,16.3174,21.2019,26.9789,21.9605,1.7124,2.3331,16.4618,9.8965,265.0,0.031052,93.025406,0,0,0,0,0,0,0,1,13
78,35,44,7.072655622,26.54348085,84.67353597,183.6222657,0.6764,0.7639,1.0004,0.9216,20.0565,27.3189,35.2975,28.341,16.075,22.0102,28.6616,23.0323,16.385,39.5085,89.8319,36.2752,78.0,0.012264,341.695725,0,0,1,0,0,0,0,0,20
6,47,18,6.715276662999999,29.16174608,80.28038146,40.16545979,0.629,0.7293,0.9593,0.8842,22.9918,30.9359,38.5768,30.6654,18.6176,25.1036,31.2864,24.833,5.1314,9.9262,19.9411,10.0295,455.0,0.03462,181.732641,1,0,0,0,0,0,0,0,14
28,70,21,7.437373666,25.39038396,60.4989659,39.18374505,0.4944,0.556,0.7278,0.6655,19.7841,26.2849,33.3263,26.3961,15.9756,21.2068,26.9787,21.318,4.16,8.2241,17.4505,7.4474,937.0,0.22702,221.107753,0,0,0,0,0,1,0,0,10
114,94,53,6.190757458999999,26.33544853,76.8532006,118.6858263,0.6159,0.7073,0.9156,0.8546,20.1958,28.1125,34.6905,27.5191,16.2455,22.8454,28.1067,22.252,13.1668,29.6277,60.2487,21.1428,72.0,0.0775,338.630928,1,0,0,0,0,0,0,0,1
28,123,202,6.442289294,22.76643029,92.12438519,120.4359949,0.7386,0.8091,1.1187,1.0121,18.2813,23.4203,30.2779,24.1821,14.8664,18.8671,24.5863,19.6288,10.0367,22.4246,61.5891,25.637,5320.0,9.580429,256.125541,0,0,0,0,0,1,0,0,0
61,41,17,6.021902237000001,25.1420613,65.26185135,76.68456006,0.5145,0.5841,0.7887,0.7114,20.2974,27.1498,33.6631,27.4817,16.5261,22.1214,27.3775,22.4533,4.8248,14.8352,39.2541,17.1926,532.0,0.362243,47.380924,0,0,0,0,0,1,0,0,11
7,23,35,7.054313822999999,19.75088482,88.71691157,102.5538035,0.7081,0.8102,1.0523,0.9721,14.9725,21.4504,25.2837,20.9066,12.0098,17.5002,20.3459,16.9564,9.3266,20.7258,51.3071,19.5504,521.0,0.096086,125.833276,0,0,0,0,0,1,0,0,19
22,138,195,6.208196881,27.83487131,83.51444973,73.02882766,0.6348,0.7418,0.9974,0.9053,21.8878,29.0762,37.1196,29.3091,17.7125,23.5092,30.1609,23.7422,7.7975,15.2372,34.6248,13.285,542.0,0.209241,334.422333,0,0,0,0,0,1,0,0,7
20,73,22,5.976312537999999,16.03768615,22.33195853,130.3900798,0.1729,0.1906,0.2585,0.2448,12.514,16.4898,20.6514,16.5981,10.1084,13.2823,16.642,13.3906,15.9811,27.4088,62.3078,26.5642,292.0,0.553004,38.569358,0,0,0,1,0,0,0,0,9
35,131,203,5.893490899,22.42776057,93.91722423,102.7230739,0.7467,0.8377,1.1314,1.0187,17.4463,23.4966,29.5066,22.337,14.0821,19.0111,23.8997,17.8515,11.1652,22.7531,47.9116,19.5835,269.0,0.004126,82.090842,0,0,0,0,0,1,0,0,0
28,68,19,7.69950698,34.63880966,61.38597868,72.43169115,0.4834,0.5581,0.7284,0.6737,27.0661,35.6019,45.0236,36.5118,21.8703,28.6741,36.3639,29.584,8.7114,15.8553,35.7698,15.3535,214.0,0.067436,300.648495,1,0,0,0,0,0,0,0,2
52,51,53,6.985804083,38.38231475,93.10378595,210.2735346,0.7431,0.8144,1.1141,1.0141,29.8729,39.667,51.2788,39.2392,24.1156,31.9905,41.6833,31.5627,20.3568,40.1766,106.6887,39.3457,875.0,0.062463,287.384913,0,0,0,0,0,1,0,0,17
8,50,21,6.218923893,28.62911222,89.11480590000002,50.49913241,0.72,0.7911,1.0511,0.9758,23.0281,29.8517,38.2935,30.1053,18.7337,24.1259,31.1362,24.3794,8.754,9.3766,21.1128,10.1153,13.0,0.010885,72.791885,1,0,0,0,0,0,0,0,14
10,37,22,7.069747813999999,28.7275267,89.12760359,58.52974279,0.7129,0.7822,1.0727,0.9653,22.6666,29.4988,37.5167,30.806,18.3575,23.7533,30.3348,25.0605,11.0201,12.3707,30.4326,10.5925,26.0,0.299757,60.950476,0,0,0,0,0,1,0,0,14
87,28,35,6.759211911,26.5602777,57.1621814,152.0616227,0.4474,0.5149,0.6886,0.6214,21.5769,28.5643,35.7842,27.8549,17.5929,23.2523,29.1441,22.5428,16.8956,32.3475,75.6802,28.8812,49.0,0.062818,197.925091,0,0,0,1,0,0,0,0,5
64,35,23,5.680361037999999,23.02038334,61.89472002,63.03843397,0.5157,0.5552,0.7347,0.6821,18.4381,23.8074,29.8913,23.6947,14.9851,19.2033,24.1362,19.0907,6.3454,15.3574,30.5537,15.857,768.0,0.377649,123.288348,0,0,0,0,0,0,0,1,11
8,37,33,6.128167757000001,28.07802689,54.9640534,97.45373619,0.4328,0.486,0.6534,0.6127,21.9441,29.3419,36.866,29.3665,17.7324,23.7263,29.8465,23.7509,7.4263,19.5161,47.9858,19.1939,126.0,0.463885,116.714001,0,0,0,0,0,1,0,0,12
19,38,26,4.525722333,31.48451729,48.77926304,93.17221967,0.4021,0.4269,0.5671,0.5485,25.5262,33.2037,40.9815,32.7108,20.8035,26.9068,33.1104,26.4139,10.3021,18.1428,48.7002,20.3979,117.0,0.001813,323.639938,0,0,0,0,0,0,0,1,12
121,47,16,7.7232401510000015,23.60564038,79.29573149,72.49800885,0.6256,0.7175,0.9328,0.8934,18.9969,25.2622,30.541,25.1298,15.4561,20.5411,24.6396,20.4087,5.4454,16.0164,34.4991,13.6407,25.0,0.061856,22.062138,1,0,0,0,0,0,0,0,6
13,73,20,5.391560417999999,30.50420876,35.48885969,162.59277230000004,0.2789,0.3176,0.4369,0.3912,23.8354,32.8478,39.7956,32.2547,19.2597,26.7469,32.1696,26.1539,15.9196,32.479,85.2161,32.5921,611.0,0.050534,55.214043,0,1,0,0,0,0,0,0,18
71,56,37,6.491506245,23.18866654,86.20899734,176.103677,0.6858,0.7871,1.0388,0.9467,18.9397,24.4725,30.573,24.4953,15.4614,19.8348,24.7758,19.8575,19.6832,36.358,88.5623,34.7173,7.0,0.069911,257.803054,1,0,0,0,0,0,0,0,8
